
 TIME =    0.0000000000000000     
 CHANNEL           19   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.8450517841E+04   0.1547335842E+07  183.10545    1.00000
   27 0.7469153543E+02  0.1176772680E+05   0.1546606157E+07  131.42778    1.00000
   26 0.7151633858E+02  0.2122950120E+05   0.1546208661E+07   72.83302    1.00000
   25 0.6834114173E+02  0.2776372761E+05   0.1548134136E+07   55.76103    1.00000
   24 0.6600354331E+02  0.3077051205E+05   0.1552237446E+07   50.44562    1.00000
   23 0.6366594488E+02  0.3765063518E+05   0.1555416099E+07   41.31182    1.00000
   22 0.6049074803E+02  0.4433679599E+05   0.1565198526E+07   35.30247    1.00000
   21 0.5731555118E+02  0.5014284403E+05   0.1574993087E+07   31.41013    1.00000
   20 0.5414035433E+02  0.5539313801E+05   0.1585246455E+07   28.61810    1.00000
   19 0.5096515748E+02  0.6004949511E+05   0.1596294761E+07   26.58298    1.00000
   18 0.4778996063E+02  0.6334349285E+05   0.1608349523E+07   25.39092    1.00000
   17 0.4545236220E+02  0.6181764845E+05   0.1621527423E+07   26.23082    1.00000
   16 0.4311476378E+02  0.6811807692E+05   0.1628111802E+07   23.90132    1.00000
   15 0.3993956693E+02  0.7125299912E+05   0.1644588910E+07   23.08098    1.00000
   14 0.3676437008E+02  0.7274111235E+05   0.1660862501E+07   22.83251    1.00000
   13 0.3358917323E+02  0.7321769977E+05   0.1677189181E+07   22.90688    1.00000
   12 0.3041397638E+02  0.7259843234E+05   0.1693561744E+07   23.32780    1.00000
   11 0.2723877953E+02  0.7006013502E+05   0.1709883768E+07   24.40594    1.00000
   10 0.2490118110E+02  0.6378941889E+05   0.1725840000E+07   27.05527    1.00000
    9 0.2253484252E+02  0.6535991558E+05   0.1732911864E+07   26.51337    1.00000
    8 0.1930216535E+02  0.6129265761E+05   0.1748684119E+07   28.53008    1.00000
    7 0.1606948819E+02  0.5512796076E+05   0.1763362294E+07   31.98671    1.00000
    6 0.1283661417E+02  0.4758035079E+05   0.1776602560E+07   37.33900    1.00000
    5 0.9603740157E+01  0.3866944566E+05   0.1788103576E+07   46.24073    1.00000
    4 0.6371062992E+01  0.2884366567E+05   0.1797533698E+07   62.31988    1.00000
    3 0.3138385827E+01  0.1541497099E+05   0.1804653676E+07  117.07149    1.00000
    2 0.7610236220E+00  0.1161337615E+05   0.1808527567E+07  155.72798    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            9   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
